model,nafmfactor,kahfactor,hcnffactor,lvamvhalf,hvahslope,gnapbar,kamfactor,nafhslope,hvahfactor,nafhfactor,hvamslope,kdrnvhalf,hcnmifd,naphslope,gkdrbar,kahslope,nafhvhalf,hvamvhalf,kahvhalf,naphfactor,hcnratio,ghcnsbar,napmvhalf,kmmfactor,nafmvhalf,glvabar,napmfactor,lvamslope,kmvhalfl,lvahslope,gkmbar,naphvhalf,lvahvhalf,kamvhalf,kmkl,hvamfactor,CM,hvahvhalf,Rm,lvamfactor,nafmslope,ghvabar,kdrnfactor,napmslope,hcnsfactor,hcnmiso,gkabar,kamslope,gnafbar,hcnmisd,kdrnslope,gskbar,hcnmifo,tauca,lvahfactor
0,0.89001399,1.123463,0.94862801,-49.040756,9.364192,66470.633,0.878699,5.2723341,1.122735,1.086112,8.5422249,-18.291983,9.9197569,10.551832,6349267,9.4941053,-20.078032,6.7483482,-60.459911,1.061639,2.023145,24946.305,47.564972,1.093285,-26.081997,56644.848,0.87387401,8.8258181,-43.289959,7.409616,141094.48,53.591053,-88.147064,-18.064455,-10.283946,1.195786,1.0337141,36.26334,45251.82,0.90308499,9.628438,244910.3,0.93850899,3.8303051,0.821863,2.9337831,26325.611,15.691364,4765880,17.735865,15.910599,82152.094,69.711456,145.9541,1.155318
1,1.099553,1.021281,0.87996298,-57.088589,10.498348,55119.918,1.0254,6.7718992,1.1494091,0.89768702,7.2087641,-15.527504,10.792362,9.4044991,3702420,7.9054222,-28.326336,7.8599348,-62.112419,1.0373189,1.898006,29379.381,44.590256,0.86827999,-21.672049,49850.195,0.86329401,7.0452971,-35.822376,6.5237031,247801.7,45.326992,-92.03875,-22.547224,-8.7852602,0.86123103,0.90988499,33.940052,34537.453,1.160205,9.9616756,300758.06,1.062966,3.689965,0.95596498,1.165786,13037.66,13.293997,4499819.5,13.197544,17.605213,72941.492,76.816277,144.02496,0.884381
2,1.128196,1.127322,1.106693,-55.677082,9.4921713,47164.656,1.1054,6.905333,0.88534099,1.190701,7.064312,-21.433609,9.2612896,11.93583,5166699,7.9567819,-25.697306,7.472352,-54.380123,1.072757,1.969373,33993.273,49.073025,0.93103802,-26.910824,121644.06,1.024093,7.055284,-35.754616,6.5475798,98942.438,53.293652,-89.427849,-14.696797,-8.3149204,1.0420491,1.096969,39.730003,39889.738,1.081049,8.0379467,212880.12,1.086115,3.5693941,0.91680801,0.87456602,40517.57,15.741267,4232064,18.537762,18.675335,43522.504,70.543381,92.071106,1.11219
3,0.93917602,1.106138,1.179638,-52.118156,7.4786239,53740.496,0.81166399,7.0411201,0.87767798,1.170848,8.7158442,-16.666815,11.536838,9.0932426,3294883,8.7211876,-26.843889,8.6234379,-61.648155,0.87930697,1.818825,25548.438,45.248955,0.92176902,-21.853117,117120.19,0.82277101,9.0015154,-43.042316,7.9561491,143942.58,48.551788,-84.274239,-20.991226,-10.515346,0.978634,1.109675,34.309727,27627.904,1.092805,10.804036,202817.97,0.84996098,4.3998041,1.1742001,-1.079627,39753.305,17.001123,7248591,16.734398,18.599979,56136.258,73.493858,50.374409,0.86902797
4,0.90707803,1.0272501,0.957479,-53.618446,10.047886,61692.945,0.85774302,6.0143781,0.96119797,1.104616,8.0891533,-14.274671,11.302065,11.682151,3688265.2,8.5879364,-22.91803,10.98701,-53.651234,1.1020319,1.9504761,33043.145,46.608269,0.86948901,-24.560061,119018.12,0.83272201,9.0771255,-35.408234,5.540462,128869.42,51.345631,-88.710052,-14.337578,-8.4300299,0.99091899,0.85708398,35.510204,49065.25,0.90207899,9.9792728,239789.67,1.0058579,4.0557852,0.97622102,-0.32853699,23084.098,16.449194,5122954,14.89287,23.373537,53218.504,74.424149,154.9772,1.136602
5,1.137154,1.062423,1.084188,-56.851574,7.636158,57339.102,1.168084,5.6753402,1.1735539,0.87445599,7.791337,-18.064798,9.1166544,10.493268,1770970.2,9.8160028,-20.195023,14.759148,-57.420624,1.065861,2.015168,54115.621,47.228306,0.91562498,-22.454391,119058.68,1.061891,9.7225256,-39.58342,7.0347691,139880.55,49.646297,-89.61245,-18.438599,-10.603049,1.07222,1.2498519,41.255562,53162.25,0.886244,10.053238,193947.3,0.864375,4.6618872,0.87921798,0.01342,26247.746,14.605926,7485633,19.070992,21.743444,102729.42,75.809937,59.158203,0.89354199
6,1.115883,0.87839901,1.149726,-51.250149,7.3666949,66430.836,1.0574239,6.1587172,0.83191597,0.93197203,8.9007177,-22.388741,8.4522009,11.499802,2123429.5,7.002759,-21.46566,10.865723,-59.157768,0.82620102,1.569443,28268.143,45.496044,0.80638403,-24.662785,158273.42,1.111698,9.8303576,-38.80722,5.3563018,114586.27,45.578228,-84.256279,-17.939445,-9.874917,0.81818002,1.1999069,38.051952,74501.57,0.99644899,8.96276,294646.62,1.057075,3.8113511,1.184239,1.31952,48111.363,12.420757,8314366.5,12.983441,22.230349,28649.986,78.667694,139.82812,1.028963
7,1.09721,1.0890599,1.1325541,-54.834354,8.9896536,36320.582,1.096517,7.2789001,1.05179,1.158628,7.5748882,-14.756689,9.0368128,9.5398083,2631064,6.801796,-28.608154,8.1911192,-56.036865,0.96742201,2.0143781,34953.469,49.225845,0.801144,-23.245569,154803.09,1.113588,6.78405,-35.840557,6.7471581,171428.45,46.556915,-84.698906,-21.954512,-11.317353,0.82934397,1.188669,41.195827,60717.785,0.97438401,7.601017,256918.81,1.087323,4.4672761,0.82196599,2.0697241,16147.558,16.960892,5677138.5,13.968873,17.664598,77197.609,78.56102,90.322212,1.163869
8,1.022776,0.88617003,0.98290497,-55.413284,7.4596782,38697.551,1.155192,7.029912,1.0000401,0.96240002,8.3903427,-18.338774,10.508111,10.107487,4133807.5,8.2135925,-24.387486,11.093229,-56.817822,1.042518,1.998122,40602.199,46.456913,0.95108801,-25.160744,96700.094,0.89230901,9.6614952,-44.034611,6.3171721,69465.445,44.158352,-84.81636,-15.832909,-8.5182762,0.89290899,1.09038,38.213306,21082.762,1.140996,8.471467,137067.7,0.90930599,4.6457009,1.1394399,5.9041958,21102.754,16.408978,4598227,15.12939,22.101124,45441.879,71.163635,42.356529,0.82012099
9,1.199523,0.82995898,1.049692,-53.611065,10.145854,48654.355,1.0759161,5.6924462,1.177901,0.87211198,8.4774895,-17.097092,10.997457,10.576997,3773699.8,9.23493,-20.976063,11.499837,-57.445507,0.88861698,1.977777,38947.184,45.750584,1.104472,-26.751486,104448.3,1.100919,7.7600412,-38.184792,5.5996041,119854.58,47.994312,-86.359283,-18.006296,-11.604378,1.035358,0.78388202,41.544231,43585.465,0.96446002,8.8249226,242828.06,1.085728,4.2544861,1.0946,7.209054,15330.728,17.932873,2418853.8,15.016491,20.731125,99898.586,71.583923,74.322601,1.0117429
10,1.115724,0.99782503,0.988437,-51.780312,9.9435205,21909.172,1.188732,5.3776889,0.91328299,0.87367803,6.987463,-12.766879,10.175553,9.8996077,4485219.5,7.032495,-26.236406,10.442396,-55.994858,0.93316001,1.552102,39805.555,48.675999,0.95303899,-25.165485,143211.72,0.84839499,7.2448192,-40.923569,7.2840071,66054.461,47.911503,-92.059494,-23.187176,-9.0424833,0.871602,1.129156,35.749973,71106.594,0.96523899,8.9769258,210501.81,0.96305698,4.0053682,1.1554869,-1.871477,39782.738,16.06246,7464891,17.958958,16.092947,30415.945,74.860298,80.237389,0.80843502
11,0.96048898,0.82312602,0.900756,-50.668442,7.3357978,54024.621,0.97356302,6.3555632,1.0914479,0.932818,7.3465729,-17.347589,11.252389,10.400442,5388422.5,7.2571559,-28.528275,6.8122182,-54.817348,0.85065001,1.70909,43116.672,44.069977,1.122185,-22.617451,162721.39,1.06734,8.3775959,-37.059059,7.066565,106007.25,46.771275,-88.078285,-22.308996,-8.8409662,1.029896,1.160947,41.461838,79357.398,1.078445,9.7015476,150553,1.0550441,4.1870151,0.92050803,3.1564369,37541.246,16.055914,5095925.5,13.805485,20.02277,61514.402,75.931061,89.624252,1.15293
12,1.048226,0.92929,1.103997,-48.561474,7.6361632,26601.855,1.1211621,6.805346,0.95810801,0.87423497,9.5380487,-18.632263,11.00784,9.5542746,6020849.5,8.8056173,-20.888653,12.801354,-60.82869,1.096669,2.1518109,45787.34,45.814732,0.82367599,-21.959055,151196.52,0.86119801,8.5292101,-36.025585,7.9408188,223103.8,45.450893,-87.710159,-20.192417,-9.2552786,0.97292203,1.061192,37.631451,77578.641,1.023657,7.9151688,127083.59,1.1354899,4.5095429,1.131021,0.83995003,30965.66,17.00025,6355861,18.786812,16.055269,81042.258,70.944977,95.914963,0.81840599
13,0.82234597,0.86089897,0.89312702,-54.078766,9.6259546,60334.922,1.091619,5.3886089,0.85019898,0.822182,9.2193928,-20.930874,11.646887,11.514216,3662557.5,9.5224524,-27.363091,13.056381,-61.423103,1.062742,2.142489,36478.012,47.702934,0.83149499,-24.573212,161516.55,0.84833401,9.1858368,-36.890759,6.9016738,208568.19,49.877491,-92.452728,-23.005295,-9.0402508,1.084792,1.232982,37.510105,56819.641,1.183672,9.4776716,295635.56,1.1733741,4.2952662,1.031033,0.99496102,44803.98,14.305631,4457905,17.583288,17.678394,76418.203,72.262428,121.9461,0.94875699
14,0.80279899,0.92075503,1.051648,-48.911617,8.5612879,56155.16,0.96286702,6.2106671,1.024819,0.94409698,9.2184029,-17.042788,8.5547667,10.436195,4339270.5,6.992053,-25.52632,15.658978,-53.222111,1.002269,1.537071,34554.098,44.857327,0.896864,-24.089071,113940.9,1.166164,6.9940429,-38.687874,7.7778459,126962.55,49.087936,-90.780022,-19.308813,-10.279707,0.97449797,1.187098,38.080776,61943.891,0.945912,10.736261,117267.36,1.003409,3.826236,1.133153,-1.4868309,43250.906,13.388141,4824723.5,15.162594,18.567238,37263.066,74.192497,101.57115,1.015215
15,0.871782,1.074616,1.137686,-49.371983,7.9133568,48524.883,0.868572,6.5175519,1.066238,0.96855003,8.1620722,-21.281389,11.439751,11.003484,1841950.2,8.6692953,-22.04661,6.5350728,-58.921444,0.89681202,1.566936,37134.738,49.328457,1.133473,-22.182018,118248.2,0.99903202,8.4704628,-37.347382,5.6150289,100761.59,50.247459,-92.988594,-14.189003,-8.9574642,0.89831799,1.152421,39.605145,53822.363,1.1004781,8.7576294,243059.45,1.188966,3.5530391,1.028761,7.2686849,40660.906,13.665691,4057700.5,13.65375,19.547911,64821.035,69.764175,103.22736,1.113204
16,0.80826199,1.0342129,0.95654601,-48.99279,7.47087,46867.441,0.82957703,6.8274331,0.947779,1.019937,8.8314066,-16.123949,11.241459,11.22029,2924777,8.284585,-26.20414,10.583336,-61.036404,0.925502,2.0786741,27078.102,52.123596,1.178371,-23.544598,124055.31,0.97836399,7.0120521,-36.007206,6.2054238,126257.46,52.933971,-86.577408,-18.590006,-11.034787,1.156472,1.2069629,35.59903,68563.57,0.88493401,7.5546608,130113.04,1.038929,3.9867859,0.942137,5.827456,47554.867,16.20323,5128173,15.001646,19.88212,91456.977,70.791969,83.395149,0.97682297
17,0.83807403,0.85316902,1.157618,-47.497776,7.8790102,40811.93,1.159954,5.7985659,0.89208901,0.86682898,8.4337893,-14.263747,9.4605188,8.1320763,3846292.2,9.2123518,-26.375582,14.657576,-60.66481,0.85582602,1.993369,33157.809,44.700863,1.164847,-23.440516,73484.07,1.111365,9.4618378,-41.810001,5.4386568,98854.023,45.33712,-84.466194,-14.430201,-11.470083,0.861965,1.10052,37.193932,72916.047,0.91676998,10.146328,207849.09,1.065907,4.0723581,1.049087,2.414175,29163.166,14.364381,6482974,15.022315,19.212271,46654.031,75.908943,95.42791,1.1556751
18,1.151186,0.871831,1.016027,-52.683075,10.771719,33172.855,0.98328698,7.1093411,0.91669399,0.90612102,7.4955878,-21.776972,11.676534,8.070878,6059873,6.6531558,-22.899118,6.972683,-61.681953,1.133136,2.150955,25139.496,46.820786,0.87534899,-22.83646,123107.31,0.80457801,7.4465952,-37.113213,6.3163981,132333.95,45.276497,-91.431976,-14.648517,-11.414107,0.89659202,1.028623,32.005817,57567.398,1.061672,7.5255589,272858.22,1.083043,4.2768168,0.87783599,3.3472691,37245.43,16.354477,5816985.5,14.16964,17.771162,52507.387,70.893898,137.8558,1.125172
19,1.1815391,0.85074902,1.000679,-52.194397,7.2472401,32858.926,1.016135,5.0662041,1.063911,1.157932,9.7738113,-14.889666,11.174207,10.344568,5006378.5,9.6252956,-20.071886,11.381714,-59.139778,1.146419,1.971989,36924.73,50.906052,1.062538,-23.75555,65123.973,0.90083897,9.4656267,-36.438587,6.2339468,106016.33,52.901596,-92.163818,-20.826101,-11.184723,0.85968,0.86625898,38.941292,34022.648,1.164152,7.6004019,318561.06,1.1351351,4.1634388,0.88772202,3.3380699,27468.748,12.466448,5998135.5,16.509607,17.130993,54629.836,74.878693,141.89896,1.0576169
20,0.80689001,0.80976999,1.172233,-47.721199,7.2211099,44557.18,0.93586498,6.4379559,0.87048101,0.86702502,9.0794382,-20.766554,11.217094,10.182145,4462645.5,7.603559,-20.724051,9.3580399,-61.152428,1.131857,2.074347,37932.438,47.560223,0.81184298,-21.882229,136122.53,0.84434199,9.1729307,-40.525932,6.3043499,137354.31,52.265224,-88.839439,-19.088537,-10.297394,1.1386091,0.97006702,33.503544,47664.203,1.144933,10.565448,335802.38,0.86000502,4.966022,1.095975,3.7432449,47876.586,12.078734,6951623,14.315155,17.796721,39483.879,78.301598,140.64644,1.004236
21,1.174051,1.106745,0.83506101,-49.582813,10.513459,40156.336,0.83262801,6.575233,0.81933498,1.06057,8.7557192,-15.841089,8.6631632,9.8328915,5561041.5,7.4081278,-23.133387,7.1785979,-58.059025,1.034768,1.67009,58194.914,47.835461,0.81469798,-23.725315,125078.4,0.919985,7.845767,-38.666283,6.7228732,98429.742,45.854263,-83.691757,-20.481308,-8.7317219,0.90544599,0.75801998,34.236549,64443.992,1.000541,10.613506,262462.31,1.124051,4.1539221,1.04128,6.2271628,17301.619,15.404023,5320330,15.617275,18.077875,66807.438,71.462143,148.73357,1.177408
22,0.941208,1.0210429,0.80358899,-47.669415,7.4134202,45402.691,0.97298402,5.2578859,0.96027899,1.087121,9.3410606,-18.695711,10.622872,9.8464384,3534221.8,7.6821709,-23.518185,9.3500538,-56.160439,0.870525,1.911072,60926.434,47.621407,0.92789102,-22.814648,159483.09,0.85932899,8.9030495,-35.48888,5.5517859,107159.98,46.346638,-84.020256,-23.047684,-10.107032,1.1584539,0.817967,38.225548,69729.586,1.031345,7.6588788,288248.09,1.159948,4.4662938,1.03004,4.8051071,25710.381,12.966024,2847551.5,16.803453,15.898667,63830.133,69.529221,70.744675,0.99480498
23,1.021506,1.093604,0.86074299,-47.472897,10.563782,60507.676,0.85437602,5.9442568,1.118476,1.17896,8.4543552,-18.747967,9.4715004,10.148004,2057640.9,7.6999249,-27.478607,13.07865,-59.697392,1.082193,2.1222091,33656.793,45.623581,1.099813,-23.120268,42430.055,0.96914101,7.2165718,-36.706253,6.2173381,79790.93,47.043144,-92.500931,-16.788877,-8.9520378,0.86033201,1.16689,32.216152,47611.141,0.86251998,8.4086637,314698.16,0.80852598,3.5638959,0.921646,4.4016409,32352.412,16.928226,7404166.5,18.517752,23.374397,42781.324,70.443756,153.41492,0.80617398
24,1.065276,1.018312,0.94976002,-49.863148,9.9963512,33198.172,1.143376,5.5314298,0.93613499,0.92999297,8.5034294,-22.159243,10.681803,9.9443483,3915890,6.76753,-22.262877,13.251843,-60.113361,1.058728,1.976169,46129.605,53.062683,1.134303,-25.77107,155709.55,1.120025,9.2885666,-38.339848,6.3309689,221634.88,47.983459,-91.344849,-15.743051,-9.5229168,0.98280901,1.085176,33.488571,36800.652,0.95406401,8.4663973,167079.19,0.83966303,4.5844231,1.0745209,-1.765252,22662.953,17.833006,3468563.2,18.580832,22.854965,56591.086,76.979523,114.41972,0.87581801
25,0.814174,1.190047,0.82238603,-57.001019,8.9710608,66476.859,1.036407,5.0384169,0.909455,0.82118303,6.9224691,-20.126413,10.298301,9.2154837,6185912.5,7.9564271,-20.977728,8.0279598,-57.361549,0.91313303,1.707464,32653.879,45.774059,1.185599,-27.694935,109330.11,1.153837,6.812429,-38.296753,6.4377179,124931.27,47.778709,-86.485497,-18.228792,-9.9386511,0.906986,1.105469,38.105835,70883.477,1.180176,7.8092718,269953,0.96932799,3.881952,1.167985,5.209393,20849.867,13.470234,3634183.8,12.740787,20.322443,71996.516,77.627846,72.274796,0.87162203
26,0.97029603,1.097298,1.166139,-51.809792,8.2533798,40902.793,1.191572,5.3611922,0.96413398,1.034658,9.7759552,-17.994659,10.479001,8.8365288,3106933.5,9.6827269,-27.969294,12.464595,-53.1241,0.93902802,1.858878,34191.961,46.381294,1.1299289,-21.979174,120224.86,1.185599,8.7611208,-37.890614,6.3584838,154019.72,52.785652,-83.179688,-17.681911,-8.9022083,0.88014698,1.040795,40.394405,42488.664,1.105528,10.052761,127395.33,0.94438398,4.4269929,1.142697,-1.502037,49066.863,15.440174,3732355,19.050056,20.522461,90987.062,78.789513,82.861115,0.884543
27,0.801144,0.96178597,1.053232,-53.472698,9.9410124,57159.336,0.87744099,5.6837888,1.11798,0.95026398,9.4927654,-19.018726,8.7247915,8.7050829,4576291.5,8.4721889,-27.380236,9.2879667,-54.285919,0.93576902,2.077292,41132.008,44.381771,0.84148198,-26.103683,129724.57,0.91796798,9.826395,-43.45055,6.9050369,178773.2,44.658344,-92.24279,-16.553444,-8.2078352,0.927652,0.876912,41.985329,49489.441,0.97908401,7.8686838,208106.78,0.80663401,3.776428,1.0984859,5.2035069,26122.414,13.260123,2943548.8,12.919496,17.862553,53803.398,78.881622,154.98953,0.83676898
28,0.97685403,1.039915,0.844625,-52.123535,9.4777651,40834.367,1.1570719,5.3608818,0.82554102,0.87882203,9.330596,-15.792591,10.442547,11.584996,4287176,8.5910625,-21.531225,13.133372,-55.466389,1.141546,2.025944,40907.496,47.346649,1.098588,-23.466949,137197.64,0.92027098,8.3950567,-44.870041,7.4951448,185169.67,48.182877,-86.751755,-14.206333,-8.6943817,0.90160698,1.14606,34.111862,77784.391,1.071334,10.251412,236167.89,1.134156,4.4112868,0.95949799,5.4031558,46172.703,17.548462,6521808,13.732059,22.547495,57078.727,77.631783,94.763321,1.1548671
29,0.81736898,1.133997,0.83146101,-54.466019,8.5798979,40298.945,0.97242302,6.3827128,1.065841,1.011533,6.8185358,-18.261068,9.9368382,9.8722687,5406360.5,7.261476,-23.385944,10.548612,-61.459732,1.164487,1.743909,49778.949,46.226089,1.057791,-24.465384,141474.08,0.90841901,7.3065901,-39.770588,6.9335499,127759.39,43.961075,-92.40992,-22.070499,-11.82885,0.93384898,1.191811,35.29353,54890.742,1.035406,10.957986,216403.7,1.030176,4.8056479,0.967085,5.0360112,27370.15,17.816425,3601768,14.955779,21.395483,36655.496,75.900711,135.53334,0.85721397
30,0.88554603,1.102458,1.126966,-50.432156,8.386302,32970.566,1.137004,5.779778,1.058266,1.0592099,8.1468534,-14.963304,11.234429,11.190507,5037302.5,8.5662222,-21.382021,12.023873,-62.716209,0.88357502,2.0802169,23603.516,46.345119,1.142449,-29.5811,162735.86,1.057791,8.2494965,-38.491795,7.8541889,116045.81,48.122643,-90.105812,-22.409557,-8.7913628,0.81459898,1.207395,37.555328,63737.438,0.90305501,9.2948294,145481.55,1.178995,3.5953059,0.90689301,-0.75640303,41720.938,12.634674,3630482.2,13.788362,18.310019,93517.102,75.952812,95.144356,0.86786997
31,1.107201,0.96178198,1.154271,-54.618145,8.2992697,66260.445,0.98173898,6.1674118,1.184678,1.102277,7.4673681,-18.545794,8.9603624,10.523895,3006668.2,9.0237722,-24.853243,7.7434182,-54.442322,1.16313,1.837221,44332.172,45.409271,1.0675941,-23.610809,52927.773,1.10594,9.0553265,-44.281357,7.219913,159532.62,48.636589,-84.438164,-14.682048,-9.628294,1.049087,1.102289,34.067348,66248.805,1.1009459,9.6652546,184417.81,0.81459898,4.0314012,0.92236799,4.6483202,34766.273,14.849776,4657802,17.056789,23.01808,56010.332,72.309799,130.93797,1.111861
32,1.0668139,1.0378391,1.048853,-49.320557,8.6999493,60213.652,1.178822,6.6795869,0.94273603,0.98853898,7.503087,-13.524121,9.8674831,9.0164623,2590875,8.7084036,-26.3267,8.3931351,-62.096745,1.1863149,2.002516,40643.465,45.224396,0.99955899,-24.518877,110855.25,1.048125,9.1079168,-35.431042,7.386198,217546.41,50.257957,-84.389603,-20.633675,-11.894933,1.036978,1.158818,38.689381,75436.641,1.078921,10.873501,143843.23,0.92637998,4.381031,0.94469798,7.0377598,32981.523,13.676077,4859164.5,14.6776,20.3347,58088.008,79.197021,59.292702,1.133479
33,0.82478499,0.888659,0.91385603,-50.528343,8.2079697,23639.818,1.010784,6.5509238,1.127055,0.93119901,8.8390303,-15.505655,9.1377907,11.544248,2636628.2,9.1381149,-23.562815,10.734689,-58.604595,0.96314102,1.574169,39009.754,48.184212,0.954539,-23.42499,137777.12,0.823367,7.5354872,-38.041893,5.9789972,63119.062,47.657841,-83.673775,-15.539747,-10.04241,0.98742998,1.121833,35.115215,34033.73,0.93902397,7.9636922,100253.24,1.0047849,5.1529541,0.900536,1.745502,42914.156,17.37676,4767321,16.922607,20.513323,48190.602,70.448517,153.03137,1.080284
34,0.89103001,1.18515,0.93302399,-48.890636,7.2081289,53707.406,0.88130403,5.6903391,1.053587,1.050442,8.7483368,-21.09153,10.095924,11.862287,2995584.2,6.5758262,-21.766897,14.990044,-59.673973,1.071395,1.6406699,27048.42,46.223537,0.86874199,-24.383722,160122.19,1.086226,8.8506756,-35.164471,5.6818271,125604.12,46.878437,-85.245323,-16.007011,-10.906262,0.95681,0.89740503,32.78804,52344.336,0.975986,8.4012794,276366.12,0.86304802,4.94664,0.96343303,7.2031908,13900.813,13.909029,3999266,15.993998,18.15773,28034.732,74.111641,42.416485,0.83148599
35,1.033198,1.139414,1.042794,-50.759995,8.9011221,62741.715,0.87449503,5.0436521,0.836124,1.1503609,6.8859439,-15.396675,10.642812,9.5097198,2431960,9.2754097,-19.148659,13.096098,-62.607025,0.84590399,2.094924,29273.008,48.640049,0.91257101,-22.067163,110473.67,0.96116698,9.6745129,-36.053581,6.0241508,81176.938,53.352997,-87.5867,-21.485174,-11.380284,1.105783,1.013165,33.036064,53320.227,0.80355799,9.0640879,140329.16,0.98526102,4.601182,1.139163,2.052691,49295.293,13.216557,8344358.5,15.691971,19.794144,88987.297,77.31089,104.77495,0.89934802
36,0.82332498,1.170042,0.980838,-54.46875,7.250792,39645.285,1.081479,5.918705,0.81822699,1.0642689,8.2423153,-20.563679,11.371465,9.7822571,5304959.5,6.7797432,-19.909847,8.5576601,-58.530224,0.80151999,2.064497,29830.191,50.284615,0.81292701,-22.649693,133432.44,0.91744101,8.2008009,-37.285904,8.0069056,175801.77,52.63694,-92.903107,-21.60187,-11.644913,0.92504698,0.93683702,32.046391,68407.836,1.05704,9.5009756,184536.5,0.93673199,5.2791791,0.83296603,3.4552779,31378.699,15.790804,3895198.5,14.519423,19.144873,59238.164,74.088089,55.353207,1.1839761
37,1.1832761,0.93164003,1.163092,-52.244133,8.1155739,29404.861,1.084398,6.0474272,1.077575,0.86825198,7.175858,-13.083003,9.001894,9.8225613,2354214.2,7.6026092,-27.376333,13.838538,-57.548965,1.096372,2.124244,26610.033,49.975033,1.027609,-22.191599,160930.22,0.92744303,8.8516722,-39.692616,5.9096112,117624.8,49.171143,-84.16523,-22.624254,-9.786685,0.85117698,0.831833,38.225609,64755.727,1.061325,7.8957028,338471.47,0.99637401,4.3588052,1.1561199,4.1964021,45981.215,16.169216,6580280.5,17.897936,18.474825,46403.621,70.690605,65.302017,0.89305198
38,1.038944,0.99999702,0.94542903,-48.379341,8.3282003,44650.973,1.1444989,5.4992342,1.0998,0.81264198,9.6124125,-16.385139,9.985117,9.2569447,5728261,8.9796,-28.578089,9.7688599,-56.140606,1.015901,1.835662,39726.059,44.472958,0.96204501,-21.522781,96227.312,1.045182,8.2705717,-42.449577,5.5250511,110090.05,52.914337,-84.93383,-17.050701,-9.5431347,0.899526,0.95329499,32.745346,61284.18,1.0317611,10.36454,298124.34,1.155903,4.6238751,1.132195,4.1205411,21908.527,12.129984,6180244.5,14.929772,21.872742,53549.992,70.418907,141.57043,0.965339
39,1.108026,1.093641,1.104499,-52.020763,8.2624998,45304.258,1.082275,6.0978179,1.0518661,1.088605,8.4962158,-19.823778,8.0778809,9.4449606,3102400,7.9050779,-28.419678,15.9222,-55.728638,0.88933098,1.633239,34800.57,52.449268,1.050886,-22.310717,101268.58,1.129853,7.1324129,-43.92754,6.5008078,122733.12,47.479534,-86.721359,-16.832642,-11.352725,0.856224,1.055303,38.934814,72900.055,1.156906,10.63788,251129.89,1.078182,4.0074172,1.073792,1.813237,44924.836,17.629368,8113234.5,14.755073,21.372068,100850.96,78.032257,140.65323,1.181698
40,0.942563,1.18349,1.185172,-52.602093,7.372015,59989.188,1.190053,5.3088722,0.89016199,0.836061,9.0139599,-16.54924,11.2501,8.5492449,3356017.2,7.7158189,-28.329899,11.730159,-57.29887,0.81459999,1.771697,54834.625,48.101025,0.92571503,-24.002335,46982.656,0.96828502,9.1462278,-40.538803,7.2170172,233771.86,52.132874,-92.063789,-20.204687,-8.6972179,0.98396403,1.214856,32.008991,76571.688,1.028815,8.7960625,308540.47,0.88787198,3.9488709,1.108741,7.5527272,44966.297,12.957863,7802167,15.270551,15.919077,73899.578,76.509926,46.576969,0.85145301
41,1.136851,0.91799903,1.154377,-52.470589,7.747426,33702.566,1.1678801,6.3500919,1.039207,1.0044791,8.1639957,-16.658352,8.6362696,9.3137608,5267804,9.570014,-27.551012,12.992009,-57.070805,1.039014,2.1112659,28452.104,50.580849,0.91993499,-23.680376,49522.902,0.910546,7.8472638,-40.89925,6.6195421,101427.12,45.749413,-89.536201,-15.085891,-8.5586662,1.152017,1.232404,32.12933,20641.662,0.988841,10.337429,214092.27,1.091289,4.6970201,0.968651,1.879198,12791.846,14.125855,3886952.8,14.947031,17.499977,54633.77,74.870483,64.629791,0.86803299
42,1.18163,1.1747659,0.83432198,-51.302376,9.2708015,29363.123,0.94975197,7.2715769,1.016524,0.86986703,9.1087656,-17.144384,8.8204718,9.3110762,5105611,6.6231289,-26.532537,7.0322571,-62.215664,1.1666189,1.564612,45053.238,52.975887,1.14861,-23.812216,64307.957,0.812356,8.197113,-37.033745,6.0971341,88503.461,51.059784,-92.885811,-15.865418,-9.9038,0.88758099,1.1170909,32.831177,38944.918,1.166441,8.0046406,275820.66,0.93308902,4.674696,0.87289798,-0.91931999,23683.859,13.893613,7180908.5,15.608885,19.448137,91240.594,74.622177,109.29352,0.89751297
43,0.86782402,1.105597,1.19862,-52.663731,9.7147827,40087.406,0.87547302,5.7218409,1.06664,0.80180299,9.085866,-17.926298,10.384425,8.506012,2217406,8.1909761,-20.935783,15.933432,-61.924686,1.09304,1.739976,59170.762,49.908779,0.822905,-27.400749,46125.586,0.95151401,7.3768668,-35.349503,6.007503,94150.414,47.404018,-90.238167,-13.466343,-9.8650236,0.82164299,1.226831,34.114861,41783.512,0.81328899,8.741066,182576.48,1.0093811,4.3466911,1.1783741,-0.89507997,49721.93,15.635814,5284369.5,16.454685,19.594793,96207.023,75.515884,154.2244,1.122689
44,1.026755,0.89019102,0.85970199,-53.414261,8.2129803,44260.473,1.114393,6.5789161,0.97699302,1.013433,6.8185749,-19.455887,11.735048,11.738647,2154633.5,9.0509186,-23.29701,7.368691,-61.236149,0.90853,1.824981,27907.578,44.685913,0.98364502,-23.803192,74898.32,0.87733001,7.7980709,-44.086086,5.6753502,94216.344,47.95726,-89.593636,-17.891796,-8.9389486,0.88552201,1.2115149,38.997494,28053.682,0.83554798,9.3255558,340847.41,1.0717959,3.665252,0.92173398,5.4407282,35356.258,14.667305,2744591.2,17.971859,15.959639,80298.758,73.343697,50.22411,0.96589297
